1:42,Une heure quarante deux,Une heure quarante deux minutes
1:43,Une heure quarante trois,Une heure quarante trois minutes
1:44,Une heure quarante quatre,Une heure quarante quatre minutes
1:45,Une heure quarante cinq,Une heure quarante cinq minutes,Deux heures moins le quart
1:46,Une heure quarante six,Une heure quarante six minutes
1:47,Une heure quarante sept,Une heure quarante sept minutes
1:48,Une heure quarante huit,Une heure quarante huit minutes
1:49,Une heure quarante neuf,Une heure quarante neuf minutes
1:50,Une heure cinquante ,Une heure cinquante minutes,Deux heures moins dix
1:51,Une heure cinquante et une,Une heure cinquante et une minutes,Deux heures moins neuf
1:52,Une heure cinquante deux,Une heure cinquante deux minutes,Deux heures moins huit
1:53,Une heure cinquante trois,Une heure cinquante trois minutes,Deux heures moins sept
1:54,Une heure cinquante quatre,Une heure cinquante quatre minutes,Deux heures moins six
1:55,Une heure cinquante cinq,Une heure cinquante cinq minutes,Deux heures moins cinq
1:56,Une heure cinquante six,Une heure cinquante six minutes,Deux heures moins quatre
1:57,Une heure cinquante sept,Une heure cinquante sept minutes,Deux heures moins trois
1:58,Une heure cinquante huit,Une heure cinquante huit minutes,Deux heures moins deux
1:59,Une heure cinquante neuf,Une heure cinquante neuf minutes,Deux heures moins une
2:00,Deux heures  ,Deux heures,Deux heures pile,Deux heures du matin
2:01,Deux heures une ,Deux heures une minute
2:02,Deux heures deux ,Deux heures deux minutes
2:03,Deux heures trois ,Deux heures trois minutes
2:04,Deux heures quatre ,Deux heures quatre minutes
2:05,Deux heures cinq ,Deux heures cinq minutes
2:06,Deux heures six ,Deux heures six minutes
2:07,Deux heures sept ,Deux heures sept minutes
2:08,Deux heures huit ,Deux heures huit minutes
2:09,Deux heures neuf ,Deux heures neuf minutes
2:10,Deux heures dix ,Deux heures dix minutes
2:11,Deux heures onze ,Deux heures onze minutes
2:12,Deux heures douze ,Deux heures douze minutes
2:13,Deux heures treize ,Deux heures treize minutes
2:14,Deux heures quatorze ,Deux heures quatorze minutes
2:15,Deux heures quinze ,Deux heures quinze minutes,Deux heures et quart
2:16,Deux heures seize ,Deux heures seize minutes
2:17,Deux heures dix-sept ,Deux heures dix-sept minutes
2:18,Deux heures dix-huit ,Deux heures dix-huit minutes
2:19,Deux heures dix-neuf ,Deux heures dix-neuf minutes
2:20,Deux heures vingt ,Deux heures vingt minutes
2:21,Deux heures vingt et une,Deux heures vingt et une minutes
2:22,Deux heures vingt deux,Deux heures vingt deux minutes
2:23,Deux heures vingt trois,Deux heures vingt trois minutes
2:24,Deux heures vingt quatre,Deux heures vingt quatre minutes
2:25,Deux heures vingt cinq,Deux heures vingt cinq minutes
2:26,Deux heures vingt six,Deux heures vingt six minutes
2:27,Deux heures vingt sept,Deux heures vingt sept minutes
2:28,Deux heures vingt huit,Deux heures vingt huit minutes
2:29,Deux heures vingt neuf,Deux heures vingt neuf minutes
2:30,Deux heures trente ,Deux heures trente minutes,Deux heures et demie
2:31,Deux heures trente et une,Deux heures trente et une minutes
2:32,Deux heures trente deux,Deux heures trente deux minutes
2:33,Deux heures trente trois,Deux heures trente trois minutes
2:34,Deux heures trente quatre,Deux heures trente quatre minutes
2:35,Deux heures trente cinq,Deux heures trente cinq minutes,Trois heures moins vingt-cinq
2:36,Deux heures trente six,Deux heures trente six minutes
2:37,Deux heures trente sept,Deux heures trente sept minutes
2:38,Deux heures trente huit,Deux heures trente huit minutes
2:39,Deux heures trente neuf,Deux heures trente neuf minutes
2:40,Deux heures quarante ,Deux heures quarante minutes,Trois heures moins vingt
2:41,Deux heures quarante et une,Deux heures quarante et une minutes
2:42,Deux heures quarante deux,Deux heures quarante deux minutes
2:43,Deux heures quarante trois,Deux heures quarante trois minutes
2:44,Deux heures quarante quatre,Deux heures quarante quatre minutes
2:45,Deux heures quarante cinq,Deux heures quarante cinq minutes,Trois heures moins le quart
2:46,Deux heures quarante six,Deux heures quarante six minutes
2:47,Deux heures quarante sept,Deux heures quarante sept minutes
2:48,Deux heures quarante huit,Deux heures quarante huit minutes
2:49,Deux heures quarante neuf,Deux heures quarante neuf minutes
2:50,Deux heures cinquante ,Deux heures cinquante minutes,Trois heures moins dix
2:51,Deux heures cinquante et une,Deux heures cinquante et une minutes,Trois heures moins neuf
2:52,Deux heures cinquante deux,Deux heures cinquante deux minutes,Trois heures moins huit
2:53,Deux heures cinquante trois,Deux heures cinquante trois minutes,Trois heures moins sept
2:54,Deux heures cinquante quatre,Deux heures cinquante quatre minutes,Trois heures moins six
2:55,Deux heures cinquante cinq,Deux heures cinquante cinq minutes,Trois heures moins cinq
2:56,Deux heures cinquante six,Deux heures cinquante six minutes,Trois heures moins quatre
2:57,Deux heures cinquante sept,Deux heures cinquante sept minutes,Trois heures moins trois
2:58,Deux heures cinquante huit,Deux heures cinquante huit minutes,Trois heures moins deux
2:59,Deux heures cinquante neuf,Deux heures cinquante neuf minutes,Trois heures moins une
3:00,Trois heures  ,Trois heures,Trois heures pile,Trois heures du matin
3:01,Trois heures une ,Trois heures une minute
3:02,Trois heures deux ,Trois heures deux minutes
3:03,Trois heures trois ,Trois heures trois minutes
3:04,Trois heures quatre ,Trois heures quatre minutes
3:05,Trois heures cinq ,Trois heures cinq minutes
3:06,Trois heures six ,Trois heures six minutes
3:07,Trois heures sept ,Trois heures sept minutes
3:08,Trois heures huit ,Trois heures huit minutes
3:09,Trois heures neuf ,Trois heures neuf minutes
3:10,Trois heures dix ,Trois heures dix minutes
3:11,Trois heures onze ,Trois heures onze minutes
3:12,Trois heures douze ,Trois heures douze minutes
3:13,Trois heures treize ,Trois heures treize minutes
3:14,Trois heures quatorze ,Trois heures quatorze minutes
3:15,Trois heures quinze ,Trois heures quinze minutes,Trois heures et quart
3:16,Trois heures seize ,Trois heures seize minutes
3:17,Trois heures dix-sept ,Trois heures dix-sept minutes
3:18,Trois heures dix-huit ,Trois heures dix-huit minutes
3:19,Trois heures dix-neuf ,Trois heures dix-neuf minutes
3:20,Trois heures vingt ,Trois heures vingt minutes
3:21,Trois heures vingt et une,Trois heures vingt et une minutes
3:22,Trois heures vingt deux,Trois heures vingt deux minutes
3:23,Trois heures vingt trois,Trois heures vingt trois minutes
3:24,Trois heures vingt quatre,Trois heures vingt quatre minutes
3:25,Trois heures vingt cinq,Trois heures vingt cinq minutes
3:26,Trois heures vingt six,Trois heures vingt six minutes
3:27,Trois heures vingt sept,Trois heures vingt sept minutes
3:28,Trois heures vingt huit,Trois heures vingt huit minutes
3:29,Trois heures vingt neuf,Trois heures vingt neuf minutes
3:30,Trois heures trente ,Trois heures trente minutes,Trois heures et demie
3:31,Trois heures trente et une,Trois heures trente et une minutes
3:32,Trois heures trente deux,Trois heures trente deux minutes
3:33,Trois heures trente trois,Trois heures trente trois minutes
3:34,Trois heures trente quatre,Trois heures trente quatre minutes
3:35,Trois heures trente cinq,Trois heures trente cinq minutes,Quatre heures moins vingt-cinq
3:36,Trois heures trente six,Trois heures trente six minutes
3:37,Trois heures trente sept,Trois heures trente sept minutes
3:38,Trois heures trente huit,Trois heures trente huit minutes
3:39,Trois heures trente neuf,Trois heures trente neuf minutes
3:40,Trois heures quarante ,Trois heures quarante minutes,Quatre heures moins vingt
3:41,Trois heures quarante et une,Trois heures quarante et une minutes
3:42,Trois heures quarante deux,Trois heures quarante deux minutes
3:43,Trois heures quarante trois,Trois heures quarante trois minutes
3:44,Trois heures quarante quatre,Trois heures quarante quatre minutes
3:45,Trois heures quarante cinq,Trois heures quarante cinq minutes,Quatre heures moins le quart
3:46,Trois heures quarante six,Trois heures quarante six minutes
3:47,Trois heures quarante sept,Trois heures quarante sept minutes
3:48,Trois heures quarante huit,Trois heures quarante huit minutes
3:49,Trois heures quarante neuf,Trois heures quarante neuf minutes
3:50,Trois heures cinquante ,Trois heures cinquante minutes,Quatre heures moins dix
3:51,Trois heures cinquante et une,Trois heures cinquante et une minutes,Quatre heures moins neuf
3:52,Trois heures cinquante deux,Trois heures cinquante deux minutes,Quatre heures moins huit
3:53,Trois heures cinquante trois,Trois heures cinquante trois minutes,Quatre heures moins sept
3:54,Trois heures cinquante quatre,Trois heures cinquante quatre minutes,Quatre heures moins six
3:55,Trois heures cinquante cinq,Trois heures cinquante cinq minutes,Quatre heures moins cinq
3:56,Trois heures cinquante six,Trois heures cinquante six minutes,Quatre heures moins quatre
